station_id,name,lon,lat,units,n_obs,mean_discharge,max_discharge
409071,NIEMUR @ NACURRIE RD:Water Course Discharge,143.9703,-35.2321,cumec,0,,
410002,MURRUMBIDGEE @ HAY:Water Course Discharge,144.8431,-34.5154,cumec,0,,
409096,MERRAN CK @ SH-ML RD:Water Course Discharge,143.6846,-35.2124,cumec,0,,
409022,WAKOOL MAIN CANAL OT:Water Course Discharge,144.7074,-35.4493,cumec,0,,
410055,MAIN DR J DS WBN ESC:Water Course Discharge,145.9487,-34.2621,cumec,0,,
41000257,NTHREDBANK @ OUTFALL:Water Course Discharge,143.654941,-34.514606,cumec,0,,
412154,CUMBUNG SWAMP @ EOS:Water Course Discharge,143.997107,-34.278067,cumec,0,,
41010309,FOREST @ OFFTAKE:Water Course Discharge,145.294,-35.324,cumec,0,,
412152,E OF N/S LEVEE:Water Course Discharge,143.993558,-34.300926,cumec,0,,
412149,LACHLAN RV @ TUPRA:Water Course Discharge,144.1583,-34.2227,cumec,0,,
409095,YARREIN CK @ B/M RD.:Water Course Discharge,144.0624,-35.161,cumec,0,,
409093,MUR/YARR CK@B/M RD.:Water Course Discharge,144.0679,-35.136,cumec,0,,
412129,MERRIMAJEEL @ B/BANL:Water Course Discharge,144.856509,-33.794896,cumec,0,,
409105,YALLAKOOL U/S REG.:Water Course Discharge,144.7709,-35.4503,cumec,0,,
409399,LITTLE MURRAY RIVER:Water Course Discharge,143.619028,-35.408587,cumec,0,,
410162,LITTLE MIRROOL @ U/S:Water Course Discharge,146.1915,-34.4124,cumec,0,,
412150,THE BRAIDS:Water Course Discharge,143.998963,-34.246437,cumec,0,,
409058,BOX CK AT CONARGO RD:Water Course Discharge,145.0624,-35.4013,cumec,0,,
409068,NEIMUR @ NBC SYPHON:Water Course Discharge,144.3263,-35.2735,cumec,0,,
410185,NOWRANIE D/S B/BONG:Water Course Discharge,146.1257,-35.433,cumec,0,,
409097,YARREIN CK @ SH/ML R:Water Course Discharge,143.8513,-35.0818,cumec,0,,
410083,YANCO MAIN STHN DRN:Water Course Discharge,146.3054,-34.6028,cumec,0,,
41000265,MBIDGEE D/S CHASTON:Water Course Discharge,143.645818,-34.540246,cumec,0,,
410150,MAIN DRN J @ YOOGALI:Water Course Discharge,146.083,-34.3019,cumec,0,,
410053,BILLABONG CK @ BUNDY:Water Course Discharge,144.4513,-35.0485,cumec,0,,
410086,GOGELDRIE MAIN S DRN:Water Course Discharge,146.2319,-34.5374,cumec,0,,
410151,DRAINAGE CHANNEL S:Water Course Discharge,146.0547,-34.3071,cumec,0,,
41000264,MBIDGEE U/S WYNBURN:Water Course Discharge,143.678686,-34.505246,cumec,0,,
41000258,NTHREDBANK @ REG:Water Course Discharge,143.782959,-34.374709,cumec,0,,
409073,WAKOOL OUTFALL DRAIN:Water Course Discharge,144.2012,-35.493,cumec,0,,
41000268,MBIDGEE OPP PIGGERY:Water Course Discharge,143.738853,-34.415479,cumec,0,,
41000285,BILLBONG@OLD COREE:Water Course Discharge,145.536092,-35.346672,cumec,0,,
41000267,MBIDGEE U/S BOURPIE:Water Course Discharge,143.60932,-34.638751,cumec,0,,
410129,STURT CANAL OFFTAKE:Water Course Discharge,146.2563,-34.6052,cumec,0,,
410003,M/BIDGEE @ BALRANALD:Water Course Discharge,143.5631,-34.6464,cumec,0,,
409072,WAKOOL R @ DENI RD:Water Course Discharge,144.4535,-35.495,cumec,0,,
41000287,BILLABONG @ TEN MILE:Water Course Discharge,144.191519,-35.036813,cumec,0,,
41000266,MBIDGE U/S GLEN AVON:Water Course Discharge,143.642556,-34.577259,cumec,0,,
409065,P'LINE 3100 @TERMINA:Water Course Discharge,144.1842,-35.3484,cumec,0,,
412026,LACHLAN R @ OXLEY:Water Course Discharge,144.1042,-34.2143,cumec,0,,
412140,MIRROOL CK COBB HWAY:Water Course Discharge,144.8262,-34.0327,cumec,0,,
